Job,Company,City,Salary,Average_salary,Remote,Skills,More_info
Senior Data Engineer,STX Next,PoznaÅ,22 400 - 28 800 pln,25600.0,Fully remote,"Apache Spark, NoSQL, Python, ",https://justjoin.it/offers/stx-next-senior-data-engineer-poznan-data
Data Privacy Manager,HSBC Service Delivery,KrakÃ³w,Undisclosed Salary,Not known,not fully remote,"English, Data Privacy Officers, ",https://justjoin.it/offers/hsbc-service-delivery-data-privacy-manager-krakow-data-f57900cf
Implementation Specialist (SQL),Suntech,Warszawa,Undisclosed Salary,Not known,not fully remote,"MsSQL, Microsoft Excel, ",https://justjoin.it/offers/suntech-oss-implementation-specialist-sql--warszawa-data
Senior Data Engineer,Limango Polska,WrocÅaw,18 500 - 24 000 pln,21250.0,Fully remote,"SQL, CI/CD, PySpark, ",https://justjoin.it/offers/limango-polska-senior-data-engineer-wroc-aw-data-8dc8068c
Data Engineer,PAYBACK,Warszawa,Undisclosed Salary,Not known,not fully remote,"ETL, GBQ, ",https://justjoin.it/offers/payback-data-engineer-warszawa-data-deebfede
Programista PL/SQL,PSI Polska Sp.z.o.o.,PoznaÅ,Undisclosed Salary,Not known,not fully remote,"English, Oracle, ",https://justjoin.it/offers/psi-polska-sp-z-o-o--programista-pl-sql-poznan-data
Administrator MS SQL,CCC S.A.,WrocÅaw,Undisclosed Salary,Not known,not fully remote,"Business Intelligence, Microsoft SQL, ",https://justjoin.it/offers/ccc-s-a--administrator-ms-sql-wroclaw-data
Specjalista ds. serwerÃ³w aplikacyjnych (on-premise/cloud)â (k/m),Polskie Sieci Elektroenergetyczne S.A.,Konstancin-Jeziorna,Undisclosed Salary,Not known,not fully remote,"WildFly, Tomcat, ",https://justjoin.it/offers/polskie-sieci-elektroenergetyczne-s-a--specjalista-ds-serwerow-aplikacyjnych-on-premise-cloud-k-m--konstancin-jeziorna-data
Azure Databricks Engineer (mid/senior),BlueSoft,KrakÃ³w,Undisclosed Salary,Not known,Fully remote,"Databricks, ADLS gen 2, Python, ",https://justjoin.it/offers/bluesoft-azure-databricks-engineer-mid-senior--krakow-data
Senior Data Engineer (Azure),GetInData | Part of Xebia,Warszawa,26 880 - 33 600 pln,30240.0,Fully remote,"Python / Scala / Java, Git, Databricks, ",https://justjoin.it/offers/getindata-part-of-xebia-senior-data-engineer-azure--warszawa-data
Administrator Bazy Danych,Grupa MuszkieterÃ³w,Swadzim,Undisclosed Salary,Not known,not fully remote,"Bazy Danych, MsSQL, ",https://justjoin.it/offers/grupa-muszkieterow-administrator-bazy-danych-swadzim-data
Data And Analytics Manager,PPG,WrocÅaw,Undisclosed Salary,Not known,not fully remote,"Power BI, Azure, ",https://justjoin.it/offers/ppg-data-and-analytics-manager-wroc-aw-data
Database Specialist (LUW),HSBC Service Delivery,KrakÃ³w,Undisclosed Salary,Not known,not fully remote,"DB2 LUW, RedHat Linux, ",https://justjoin.it/offers/hsbc-service-delivery-database-specialist-luw--krakow-data
Data Analyst z j. niemieckim,dmTECH Polska,WrocÅaw,25 200 - 30 200 pln,27700.0,Fully remote,"Niemiecki, R, Python, ",https://justjoin.it/offers/dmtech-polska-data-analyst-z-j-niemieckim-wroc-aw-data
Senior BI Solutions Consultant (Microsoft Fabric),APN Promise S.A.,Warszawa,18 000 - 28 000 pln,23000.0,not fully remote,"Power BI, Power Query, ",https://justjoin.it/offers/apn-promise-s-a--senior-bi-solutions-consultant-microsoft-fabric--warszawa-data
Kontroler ds. Automatyzacji ProcesÃ³w Biznesowych,Adamed,Pabianice,Undisclosed Salary,Not known,Fully remote,"RPA, Webcon, ",https://justjoin.it/offers/adamed-kontroler-ds-automatyzacji-procesow-biznesowych-pabianice-data
PL/SQL Developer,DCG,Warszawa,20 000 - 23 500 pln,21750.0,not fully remote,"PL/SQL, CI/CD, ",https://justjoin.it/offers/dcg-pl-sql-developer-warszawa-data
Data Analyst,Silky Coders,GdaÅsk,Undisclosed Salary,Not known,not fully remote,"PowerBi, SQL, ",https://justjoin.it/offers/silky-coders-data-analyst-gdansk-data-fdd916f4
Senior Data Engineer,STX Next,PoznaÅ,22 400 - 28 800 pln,25600.0,Fully remote,"Python, ETL, SQL, ",https://justjoin.it/offers/stx-next-senior-data-engineer-poznan-data
Data Privacy Manager,HSBC Service Delivery,KrakÃ³w,Undisclosed Salary,Not known,not fully remote,"Data, Data Privacy Officers, ",https://justjoin.it/offers/hsbc-service-delivery-data-privacy-manager-krakow-data-f57900cf
Implementation Specialist (SQL),Suntech,Warszawa,Undisclosed Salary,Not known,not fully remote,"Microsoft Excel, Python, ",https://justjoin.it/offers/suntech-oss-implementation-specialist-sql--warszawa-data
Senior Data Engineer,Limango Polska,WrocÅaw,18 500 - 24 000 pln,21250.0,Fully remote,"Python, SQL, PySpark, ",https://justjoin.it/offers/limango-polska-senior-data-engineer-wroc-aw-data-8dc8068c
Data Engineer,PAYBACK,Warszawa,Undisclosed Salary,Not known,not fully remote,"Google Cloud Platform., pytest, ",https://justjoin.it/offers/payback-data-engineer-warszawa-data-deebfede
Programista PL/SQL,PSI Polska Sp.z.o.o.,PoznaÅ,Undisclosed Salary,Not known,not fully remote,"English, Oracle, ",https://justjoin.it/offers/psi-polska-sp-z-o-o--programista-pl-sql-poznan-data
Administrator MS SQL,CCC S.A.,WrocÅaw,Undisclosed Salary,Not known,not fully remote,"Business Intelligence, MS SQL, ",https://justjoin.it/offers/ccc-s-a--administrator-ms-sql-wroclaw-data
Specjalista ds. serwerÃ³w aplikacyjnych (on-premise/cloud)â (k/m),Polskie Sieci Elektroenergetyczne S.A.,Konstancin-Jeziorna,Undisclosed Salary,Not known,not fully remote,"Java, JBoss, ",https://justjoin.it/offers/polskie-sieci-elektroenergetyczne-s-a--specjalista-ds-serwerow-aplikacyjnych-on-premise-cloud-k-m--konstancin-jeziorna-data
Azure Databricks Engineer (mid/senior),BlueSoft,KrakÃ³w,Undisclosed Salary,Not known,Fully remote,"Databricks, Python, ADLS gen 2, ",https://justjoin.it/offers/bluesoft-azure-databricks-engineer-mid-senior--krakow-data
Senior Data Engineer (Azure),GetInData | Part of Xebia,Warszawa,26 880 - 33 600 pln,30240.0,Fully remote,"Databricks, Python / Scala / Java, Azure, ",https://justjoin.it/offers/getindata-part-of-xebia-senior-data-engineer-azure--warszawa-data
Administrator Bazy Danych,Grupa MuszkieterÃ³w,Swadzim,Undisclosed Salary,Not known,not fully remote,"Bazy Danych, MsSQL, ",https://justjoin.it/offers/grupa-muszkieterow-administrator-bazy-danych-swadzim-data
Data And Analytics Manager,PPG,WrocÅaw,Undisclosed Salary,Not known,not fully remote,"Azure, Amazon AWS, ",https://justjoin.it/offers/ppg-data-and-analytics-manager-wroc-aw-data
Database Specialist (LUW),HSBC Service Delivery,KrakÃ³w,Undisclosed Salary,Not known,not fully remote,"Data, RedHat Linux, ",https://justjoin.it/offers/hsbc-service-delivery-database-specialist-luw--krakow-data
Data Analyst z j. niemieckim,dmTECH Polska,WrocÅaw,25 200 - 30 200 pln,27700.0,Fully remote,"Niemiecki, Python, GCP, ",https://justjoin.it/offers/dmtech-polska-data-analyst-z-j-niemieckim-wroc-aw-data
Senior BI Solutions Consultant (Microsoft Fabric),APN Promise S.A.,Warszawa,18 000 - 28 000 pln,23000.0,not fully remote,"ETL, Microsoft Fabric, ",https://justjoin.it/offers/apn-promise-s-a--senior-bi-solutions-consultant-microsoft-fabric--warszawa-data
Kontroler ds. Automatyzacji ProcesÃ³w Biznesowych,Adamed,Pabianice,Undisclosed Salary,Not known,Fully remote,"RPA, Webcon, ",https://justjoin.it/offers/adamed-kontroler-ds-automatyzacji-procesow-biznesowych-pabianice-data
PL/SQL Developer,DCG,Warszawa,20 000 - 23 500 pln,21750.0,not fully remote,"PL/SQL, CI/CD, ",https://justjoin.it/offers/dcg-pl-sql-developer-warszawa-data
Data Analyst,Silky Coders,GdaÅsk,Undisclosed Salary,Not known,not fully remote,"Google BigQuery, SQL, ",https://justjoin.it/offers/silky-coders-data-analyst-gdansk-data-fdd916f4
Senior Data Engineer,STX Next,PoznaÅ,22 400 - 28 800 pln,25600.0,Fully remote,"Python, NoSQL, Apache Spark, ",https://justjoin.it/offers/stx-next-senior-data-engineer-poznan-data
Data Privacy Manager,HSBC Service Delivery,KrakÃ³w,Undisclosed Salary,Not known,not fully remote,"Data, Data Privacy Officers, ",https://justjoin.it/offers/hsbc-service-delivery-data-privacy-manager-krakow-data-f57900cf
Implementation Specialist (SQL),Suntech,Warszawa,Undisclosed Salary,Not known,not fully remote,"MsSQL, Microsoft Excel, ",https://justjoin.it/offers/suntech-oss-implementation-specialist-sql--warszawa-data
Senior Data Engineer,Limango Polska,WrocÅaw,18 500 - 24 000 pln,21250.0,Fully remote,"PySpark, Python, SQL, ",https://justjoin.it/offers/limango-polska-senior-data-engineer-wroc-aw-data-8dc8068c
Data Engineer,PAYBACK,Warszawa,Undisclosed Salary,Not known,not fully remote,"Google Cloud Platform., pytest, ",https://justjoin.it/offers/payback-data-engineer-warszawa-data-deebfede
Programista PL/SQL,PSI Polska Sp.z.o.o.,PoznaÅ,Undisclosed Salary,Not known,not fully remote,"English, Oracle, ",https://justjoin.it/offers/psi-polska-sp-z-o-o--programista-pl-sql-poznan-data
Administrator MS SQL,CCC S.A.,WrocÅaw,Undisclosed Salary,Not known,not fully remote,"Microsoft SQL, MS SQL, ",https://justjoin.it/offers/ccc-s-a--administrator-ms-sql-wroclaw-data
Specjalista ds. serwerÃ³w aplikacyjnych (on-premise/cloud)â (k/m),Polskie Sieci Elektroenergetyczne S.A.,Konstancin-Jeziorna,Undisclosed Salary,Not known,not fully remote,"WildFly, Tomcat, ",https://justjoin.it/offers/polskie-sieci-elektroenergetyczne-s-a--specjalista-ds-serwerow-aplikacyjnych-on-premise-cloud-k-m--konstancin-jeziorna-data
Azure Databricks Engineer (mid/senior),BlueSoft,KrakÃ³w,Undisclosed Salary,Not known,Fully remote,"Databricks, ADF, ADLS gen 2, ",https://justjoin.it/offers/bluesoft-azure-databricks-engineer-mid-senior--krakow-data
Senior Data Engineer (Azure),GetInData | Part of Xebia,Warszawa,26 880 - 33 600 pln,30240.0,Fully remote,"Azure, Databricks, Python / Scala / Java, ",https://justjoin.it/offers/getindata-part-of-xebia-senior-data-engineer-azure--warszawa-data
Administrator Bazy Danych,Grupa MuszkieterÃ³w,Swadzim,Undisclosed Salary,Not known,not fully remote,"Bazy Danych, MsSQL, ",https://justjoin.it/offers/grupa-muszkieterow-administrator-bazy-danych-swadzim-data
Data And Analytics Manager,PPG,WrocÅaw,Undisclosed Salary,Not known,not fully remote,"Azure, Power BI, ",https://justjoin.it/offers/ppg-data-and-analytics-manager-wroc-aw-data
Database Specialist (LUW),HSBC Service Delivery,KrakÃ³w,Undisclosed Salary,Not known,not fully remote,"Bash, Data, ",https://justjoin.it/offers/hsbc-service-delivery-database-specialist-luw--krakow-data
Data Analyst z j. niemieckim,dmTECH Polska,WrocÅaw,25 200 - 30 200 pln,27700.0,Fully remote,"Niemiecki, SQL, R, ",https://justjoin.it/offers/dmtech-polska-data-analyst-z-j-niemieckim-wroc-aw-data
Senior BI Solutions Consultant (Microsoft Fabric),APN Promise S.A.,Warszawa,18 000 - 28 000 pln,23000.0,not fully remote,"Power BI, Power Query, ",https://justjoin.it/offers/apn-promise-s-a--senior-bi-solutions-consultant-microsoft-fabric--warszawa-data
Kontroler ds. Automatyzacji ProcesÃ³w Biznesowych,Adamed,Pabianice,Undisclosed Salary,Not known,Fully remote,"RPA, Webcon, ",https://justjoin.it/offers/adamed-kontroler-ds-automatyzacji-procesow-biznesowych-pabianice-data
Data Visualization Specialist,Sales&More,Warszawa,7 000 - 11 000 pln,9000.0,not fully remote,"Machine Learning, MS Excel, ",https://justjoin.it/offers/sales-more-data-visualization-specialist-warszawa-data
Senior Platform Engineer (Databricks),GetInData | Part of Xebia,Warszawa,25 200 - 31 080 pln,28140.0,Fully remote,"Databricks, Apache Spark, Python, ",https://justjoin.it/offers/getindata-part-of-xebia-senior-platform-engineer-databricks--warszawa-data
Data Quality Engineer,NeoGames,Warszawa,Undisclosed Salary,Not known,not fully remote,"SQL, Cypress, ",https://justjoin.it/offers/neogames-data-quality-engineer-warszawa-data
Senior Data Engineer (Flink),GetInData | Part of Xebia,Warszawa,26 880 - 33 600 pln,30240.0,Fully remote,"Java / Python, Apache Flink, Cloud, ",https://justjoin.it/offers/getindata-part-of-xebia-senior-data-engineer-flink-warszawa-387316
Data Visualization Specialist,Sales&More,Warszawa,7 000 - 11 000 pln,9000.0,not fully remote,"SQL, MS Excel, ",https://justjoin.it/offers/sales-more-data-visualization-specialist-warszawa-data
Senior Platform Engineer (Databricks),GetInData | Part of Xebia,Warszawa,25 200 - 31 080 pln,28140.0,Fully remote,"Python, Databricks, Apache Spark, ",https://justjoin.it/offers/getindata-part-of-xebia-senior-platform-engineer-databricks--warszawa-data
Data Quality Engineer,NeoGames,Warszawa,Undisclosed Salary,Not known,not fully remote,"Data Warehousing, Selenium, ",https://justjoin.it/offers/neogames-data-quality-engineer-warszawa-data
Senior Data Engineer (Flink),GetInData | Part of Xebia,Warszawa,26 880 - 33 600 pln,30240.0,Fully remote,"Java / Python, Apache Flink, ",https://justjoin.it/offers/getindata-part-of-xebia-senior-data-engineer-flink-warszawa-387316
Data Visualization Specialist,Sales&More,Warszawa,7 000 - 11 000 pln,9000.0,not fully remote,"MS Excel, SQL, ",https://justjoin.it/offers/sales-more-data-visualization-specialist-warszawa-data
Senior Platform Engineer (Databricks),GetInData | Part of Xebia,Warszawa,25 200 - 31 080 pln,28140.0,Fully remote,"Python, Databricks, Apache Spark, ",https://justjoin.it/offers/getindata-part-of-xebia-senior-platform-engineer-databricks--warszawa-data
Data Quality Engineer,NeoGames,Warszawa,Undisclosed Salary,Not known,not fully remote,"Data Warehousing, Selenium, ",https://justjoin.it/offers/neogames-data-quality-engineer-warszawa-data
Senior Data Engineer (Flink),GetInData | Part of Xebia,Warszawa,26 880 - 33 600 pln,30240.0,Fully remote,"Apache Flink, Java / Python, ",https://justjoin.it/offers/getindata-part-of-xebia-senior-data-engineer-flink-warszawa-387316
Data Visualization Specialist,Sales&More,Warszawa,7 000 - 11 000 pln,9000.0,not fully remote,"MS Excel, SQL, ",https://justjoin.it/offers/sales-more-data-visualization-specialist-warszawa-data
Senior Platform Engineer (Databricks),GetInData | Part of Xebia,Warszawa,25 200 - 31 080 pln,28140.0,Fully remote,"Python, Databricks, Apache Spark, ",https://justjoin.it/offers/getindata-part-of-xebia-senior-platform-engineer-databricks--warszawa-data
Data Quality Engineer,NeoGames,Warszawa,Undisclosed Salary,Not known,not fully remote,"Data Warehousing, Selenium, ",https://justjoin.it/offers/neogames-data-quality-engineer-warszawa-data
Senior Data Engineer (Flink),GetInData | Part of Xebia,Warszawa,26 880 - 33 600 pln,30240.0,Fully remote,"Apache Flink, Java / Python, ",https://justjoin.it/offers/getindata-part-of-xebia-senior-data-engineer-flink-warszawa-387316
Data Visualization Specialist,Sales&More,Warszawa,7 000 - 11 000 pln,9000.0,not fully remote,"MS Excel, SQL, ",https://justjoin.it/offers/sales-more-data-visualization-specialist-warszawa-data
Senior Platform Engineer (Databricks),GetInData | Part of Xebia,Warszawa,25 200 - 31 080 pln,28140.0,Fully remote,"Python, Databricks, Apache Spark, ",https://justjoin.it/offers/getindata-part-of-xebia-senior-platform-engineer-databricks--warszawa-data
Data Quality Engineer,NeoGames,Warszawa,Undisclosed Salary,Not known,not fully remote,"Data Warehousing, Selenium, ",https://justjoin.it/offers/neogames-data-quality-engineer-warszawa-data
Senior Data Engineer (Flink),GetInData | Part of Xebia,Warszawa,26 880 - 33 600 pln,30240.0,Fully remote,"Apache Flink, Java / Python, ",https://justjoin.it/offers/getindata-part-of-xebia-senior-data-engineer-flink-warszawa-387316
Data Visualization Specialist,Sales&More,Warszawa,7 000 - 11 000 pln,9000.0,not fully remote,"MS Excel, SQL, ",https://justjoin.it/offers/sales-more-data-visualization-specialist-warszawa-data
Senior Platform Engineer (Databricks),GetInData | Part of Xebia,Warszawa,25 200 - 31 080 pln,28140.0,Fully remote,"Python, Databricks, Apache Spark, ",https://justjoin.it/offers/getindata-part-of-xebia-senior-platform-engineer-databricks--warszawa-data
Data Quality Engineer,NeoGames,Warszawa,Undisclosed Salary,Not known,not fully remote,"Data Warehousing, Selenium, ",https://justjoin.it/offers/neogames-data-quality-engineer-warszawa-data
Senior Data Engineer (Flink),GetInData | Part of Xebia,Warszawa,26 880 - 33 600 pln,30240.0,Fully remote,"Apache Flink, Java / Python, ",https://justjoin.it/offers/getindata-part-of-xebia-senior-data-engineer-flink-warszawa-387316
Data Visualization Specialist,Sales&More,Warszawa,7 000 - 11 000 pln,9000.0,not fully remote,"MS Excel, Machine Learning, ",https://justjoin.it/offers/sales-more-data-visualization-specialist-warszawa-data
Senior Platform Engineer (Databricks),GetInData | Part of Xebia,Warszawa,25 200 - 31 080 pln,28140.0,Fully remote,"Databricks, Python, Apache Spark, ",https://justjoin.it/offers/getindata-part-of-xebia-senior-platform-engineer-databricks--warszawa-data
Data Quality Engineer,NeoGames,Warszawa,Undisclosed Salary,Not known,not fully remote,"Data Warehousing, Selenium, ",https://justjoin.it/offers/neogames-data-quality-engineer-warszawa-data
Senior Data Engineer (Flink),GetInData | Part of Xebia,Warszawa,26 880 - 33 600 pln,30240.0,Fully remote,"Java / Python, Apache Flink, Cloud, ",https://justjoin.it/offers/getindata-part-of-xebia-senior-data-engineer-flink-warszawa-387316
Senior SQL Engineer,10 Ten Gaming LLC,Warszawa,28 000 pln,28000,Fully remote,"AWS, SQL, Snowflake, ",https://justjoin.it/offers/10-ten-gaming-llc-senior-sql-engineer
Data Engineer,MindPal,GdaÅsk,13 000 - 20 000 pln,16500.0,Fully remote,"SQL, English, Hadoop, ",https://justjoin.it/offers/mindpal-data-engineer
Business Intelligence Developer,Oviva,Warszawa,Undisclosed Salary,Not known,not fully remote,"Snowflake, Redshift, ",https://justjoin.it/offers/oviva-business-intelligence-developer-warszawa-data
Middle/Senior Data Engineer (FINTECH DOMAIN),Sigma Software,Warszawa,18 000 - 23 000 pln,20500.0,Fully remote,"Spark, SQL, AWS, ",https://justjoin.it/offers/sigma-software-middle-senior-data-engineer-fintech-domain--warszawa-data
PL/SQL Developer,DCG,Warszawa,20 000 - 23 500 pln,21750.0,not fully remote,"Oracle, CI/CD, ",https://justjoin.it/offers/dcg-pl-sql-developer-warszawa-data
Data Analyst,Silky Coders,GdaÅsk,Undisclosed Salary,Not known,not fully remote,"Google BigQuery, SQL, ",https://justjoin.it/offers/silky-coders-data-analyst-gdansk-data-fdd916f4
Senior Data Engineer,STX Next,PoznaÅ,22 400 - 28 800 pln,25600.0,Fully remote,"ETL, Python, NoSQL, ",https://justjoin.it/offers/stx-next-senior-data-engineer-poznan-data
Data Privacy Manager,HSBC Service Delivery,KrakÃ³w,Undisclosed Salary,Not known,not fully remote,"Data, Data Privacy Officers, ",https://justjoin.it/offers/hsbc-service-delivery-data-privacy-manager-krakow-data-f57900cf
Implementation Specialist (SQL),Suntech,Warszawa,Undisclosed Salary,Not known,not fully remote,"MsSQL, Python, ",https://justjoin.it/offers/suntech-oss-implementation-specialist-sql--warszawa-data
Senior Data Engineer,Limango Polska,WrocÅaw,18 500 - 24 000 pln,21250.0,Fully remote,"PySpark, CI/CD, SQL, ",https://justjoin.it/offers/limango-polska-senior-data-engineer-wroc-aw-data-8dc8068c
Data Engineer,PAYBACK,Warszawa,Undisclosed Salary,Not known,not fully remote,"Google Cloud Platform., Oracle SQL, ",https://justjoin.it/offers/payback-data-engineer-warszawa-data-deebfede
Programista PL/SQL,PSI Polska Sp.z.o.o.,PoznaÅ,Undisclosed Salary,Not known,not fully remote,"Oracle, English, ",https://justjoin.it/offers/psi-polska-sp-z-o-o--programista-pl-sql-poznan-data
Administrator MS SQL,CCC S.A.,WrocÅaw,Undisclosed Salary,Not known,not fully remote,"Microsoft SQL, MS SQL, ",https://justjoin.it/offers/ccc-s-a--administrator-ms-sql-wroclaw-data
Specjalista ds. serwerÃ³w aplikacyjnych (on-premise/cloud)â (k/m),Polskie Sieci Elektroenergetyczne S.A.,Konstancin-Jeziorna,Undisclosed Salary,Not known,not fully remote,"JBoss, Java, ",https://justjoin.it/offers/polskie-sieci-elektroenergetyczne-s-a--specjalista-ds-serwerow-aplikacyjnych-on-premise-cloud-k-m--konstancin-jeziorna-data
Data Visualization Specialist,Sales&More,Warszawa,7 000 - 11 000 pln,9000.0,not fully remote,"MS Excel, Machine Learning, ",https://justjoin.it/offers/sales-more-data-visualization-specialist-warszawa-data
Senior Platform Engineer (Databricks),GetInData | Part of Xebia,Warszawa,25 200 - 31 080 pln,28140.0,Fully remote,"Databricks, Python, Apache Spark, ",https://justjoin.it/offers/getindata-part-of-xebia-senior-platform-engineer-databricks--warszawa-data
Data Quality Engineer,NeoGames,Warszawa,Undisclosed Salary,Not known,not fully remote,"Data Warehousing, Selenium, ",https://justjoin.it/offers/neogames-data-quality-engineer-warszawa-data
Senior Data Engineer (Flink),GetInData | Part of Xebia,Warszawa,26 880 - 33 600 pln,30240.0,Fully remote,"Java / Python, Apache Flink, Cloud, ",https://justjoin.it/offers/getindata-part-of-xebia-senior-data-engineer-flink-warszawa-387316
Senior SQL Engineer,10 Ten Gaming LLC,Warszawa,28 000 pln,28000,Fully remote,"AWS, SQL, Snowflake, ",https://justjoin.it/offers/10-ten-gaming-llc-senior-sql-engineer
Data Engineer,MindPal,GdaÅsk,13 000 - 20 000 pln,16500.0,Fully remote,"SQL, English, Hadoop, ",https://justjoin.it/offers/mindpal-data-engineer
Business Intelligence Developer,Oviva,Warszawa,Undisclosed Salary,Not known,not fully remote,"Snowflake, Redshift, ",https://justjoin.it/offers/oviva-business-intelligence-developer-warszawa-data
Middle/Senior Data Engineer (FINTECH DOMAIN),Sigma Software,Warszawa,18 000 - 23 000 pln,20500.0,Fully remote,"Spark, SQL, AWS, ",https://justjoin.it/offers/sigma-software-middle-senior-data-engineer-fintech-domain--warszawa-data
PL/SQL Developer,DCG,Warszawa,20 000 - 23 500 pln,21750.0,not fully remote,"Oracle, CI/CD, ",https://justjoin.it/offers/dcg-pl-sql-developer-warszawa-data
Data Analyst,Silky Coders,GdaÅsk,Undisclosed Salary,Not known,not fully remote,"Google BigQuery, SQL, ",https://justjoin.it/offers/silky-coders-data-analyst-gdansk-data-fdd916f4
Senior Data Engineer,STX Next,PoznaÅ,22 400 - 28 800 pln,25600.0,Fully remote,"ETL, Python, NoSQL, ",https://justjoin.it/offers/stx-next-senior-data-engineer-poznan-data
Data Privacy Manager,HSBC Service Delivery,KrakÃ³w,Undisclosed Salary,Not known,not fully remote,"Data, Data Privacy Officers, ",https://justjoin.it/offers/hsbc-service-delivery-data-privacy-manager-krakow-data-f57900cf
Implementation Specialist (SQL),Suntech,Warszawa,Undisclosed Salary,Not known,not fully remote,"MsSQL, Python, ",https://justjoin.it/offers/suntech-oss-implementation-specialist-sql--warszawa-data
Senior Data Engineer,Limango Polska,WrocÅaw,18 500 - 24 000 pln,21250.0,Fully remote,"PySpark, CI/CD, SQL, ",https://justjoin.it/offers/limango-polska-senior-data-engineer-wroc-aw-data-8dc8068c
Data Engineer,PAYBACK,Warszawa,Undisclosed Salary,Not known,not fully remote,"Google Cloud Platform., Oracle SQL, ",https://justjoin.it/offers/payback-data-engineer-warszawa-data-deebfede
Programista PL/SQL,PSI Polska Sp.z.o.o.,PoznaÅ,Undisclosed Salary,Not known,not fully remote,"Oracle, English, ",https://justjoin.it/offers/psi-polska-sp-z-o-o--programista-pl-sql-poznan-data
Administrator MS SQL,CCC S.A.,WrocÅaw,Undisclosed Salary,Not known,not fully remote,"Microsoft SQL, MS SQL, ",https://justjoin.it/offers/ccc-s-a--administrator-ms-sql-wroclaw-data
Specjalista ds. serwerÃ³w aplikacyjnych (on-premise/cloud)â (k/m),Polskie Sieci Elektroenergetyczne S.A.,Konstancin-Jeziorna,Undisclosed Salary,Not known,not fully remote,"JBoss, Java, ",https://justjoin.it/offers/polskie-sieci-elektroenergetyczne-s-a--specjalista-ds-serwerow-aplikacyjnych-on-premise-cloud-k-m--konstancin-jeziorna-data
Data Engineer (Kafka),Link Group,Warszawa,25 200 - 30 240 pln,27720.0,Fully remote,"Azure, Apache Kafka, Python, ",https://justjoin.it/offers/link-group-data-engineer-kafka--warszawa-data
DataBricks Engineer,CRODU,KrakÃ³w,26 880 - 33 600 pln,30240.0,Fully remote,"Databricks, Big Data, Python, ",https://justjoin.it/offers/crodu-databricks-engineer-krakow-data
Specjalista ds. administracji chmurÄ (Microsoft Azure) (k/m),Polskie Sieci Elektroenergetyczne S.A.,Konstancin-Jeziorna,Undisclosed Salary,Not known,not fully remote,"Cybersecurity, Terraform, ",https://justjoin.it/offers/polskie-sieci-elektroenergetyczne-s-a--specjalista-ds-administracji-chmura-microsoft-azure-k-m--konstancin-jeziorna-data
Data Scientist Engineer,Samsung R&D Institute Poland,Warszawa,Undisclosed Salary,Not known,not fully remote,"Grafana, Pandas, ",https://justjoin.it/offers/samsung-r-d-institute-poland-data-scientist-engineer-warszawa-data
Analytics Engineer,Centrum Respo,Warszawa,15 000 - 21 000 pln,18000.0,Fully remote,"MongoDB, MySQL, Tableau, ",https://justjoin.it/offers/centrum-respo-bi-developer-warszawa-data
Specialist Automatic Data Processing,Headquarters Multinational Corps Northeast,Ustowo,Undisclosed Salary,Not known,not fully remote,"MS SQL, Oracle SE, ",https://justjoin.it/offers/headquarters-multinational-corps-northeast-senior-specialist-automatic-data-processing-ustowo-data
Data Engineer (Snowflake & ODI),INSIGHT,WrocÅaw,19 000 - 25 000 pln,22000.0,Fully remote,"Oracle Data Integrator, Oracle, SQL, ",https://justjoin.it/offers/insight-data-warehouse-engineer-wroc-aw-data
Analityk Biznesowo-Systemowy,Asseco Data Systems,Warszawa,Undisclosed Salary,Not known,not fully remote,"XML, ",https://justjoin.it/offers/asseco-data-systems-analityk-biznesowo-systemowy-warszawa-data
SQL Database Developer,Raben Management Services,Robakowo,Undisclosed Salary,Not known,not fully remote,"Linux, English, ",https://justjoin.it/offers/raben-management-services-transport-system-it-specialist-sql-database-developer-robakowo-data
AI/ML Engineer,MindPal,PoznaÅ,7 000 - 10 000 pln,8500.0,Fully remote,"AI, Machine Learning, Python, ",https://justjoin.it/offers/mindpal-ai-ml-engineer
Data Visualization Specialist,Sales&More,Warszawa,7 000 - 11 000 pln,9000.0,not fully remote,"Machine Learning, SQL, ",https://justjoin.it/offers/sales-more-data-visualization-specialist-warszawa-data
Senior Platform Engineer (Databricks),GetInData | Part of Xebia,Warszawa,25 200 - 31 080 pln,28140.0,Fully remote,"Python, Apache Spark, Databricks, ",https://justjoin.it/offers/getindata-part-of-xebia-senior-platform-engineer-databricks--warszawa-data
Data Quality Engineer,NeoGames,Warszawa,Undisclosed Salary,Not known,not fully remote,"SQL, Cypress, ",https://justjoin.it/offers/neogames-data-quality-engineer-warszawa-data
Senior Data Engineer (Flink),GetInData | Part of Xebia,Warszawa,26 880 - 33 600 pln,30240.0,Fully remote,"Java / Python, Apache Flink, Cloud, ",https://justjoin.it/offers/getindata-part-of-xebia-senior-data-engineer-flink-warszawa-387316
Senior SQL Engineer,10 Ten Gaming LLC,Warszawa,28 000 pln,28000,Fully remote,"Azure, Bash, PostgreSQL, ",https://justjoin.it/offers/10-ten-gaming-llc-senior-sql-engineer
Data Engineer,MindPal,GdaÅsk,13 000 - 20 000 pln,16500.0,Fully remote,"SQL, Spark, Python, ",https://justjoin.it/offers/mindpal-data-engineer
Business Intelligence Developer,Oviva,Warszawa,Undisclosed Salary,Not known,not fully remote,"Redshift, Snowflake, ",https://justjoin.it/offers/oviva-business-intelligence-developer-warszawa-data
